frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
142,0.003898,0.001923,0.026430,0.005138,0.037388,0.000000,0.037388,1552228,2,248,10
143,0.005746,0.001524,0.025325,0.005252,0.037847,0.000000,0.037847,1522282,2,248,10
144,0.008080,0.001812,0.023183,0.006331,0.039405,0.000000,0.039405,1570998,2,248,10
145,0.007930,0.002212,0.022132,0.007200,0.039474,0.000000,0.039474,1434440,2,248,10
146,0.002676,0.002422,0.022766,0.006853,0.034717,0.000000,0.034717,1916870,2,248,10
147,0.002681,0.003817,0.025020,0.005920,0.037438,0.000000,0.037438,1844964,2,248,10
148,0.002622,0.002676,0.027215,0.005760,0.038273,0.000000,0.038273,1838608,2,248,10
149,0.002605,0.002180,0.026454,0.007629,0.038868,0.000000,0.038868,1777558,2,248,10
150,0.003425,0.002404,0.025704,0.006248,0.037781,0.000000,0.037781,1785334,2,248,10
151,0.005290,0.002116,0.024826,0.007510,0.039743,0.000000,0.039743,1668885,2,248,10
152,0.005870,0.002867,0.024716,0.006950,0.040404,0.000000,0.040404,1656986,2,248,10
153,0.007140,0.002034,0.022038,0.009827,0.041039,0.000000,0.041039,1535965,2,248,10
154,0.003779,0.004005,0.024557,0.008273,0.040614,0.000000,0.040614,1587873,2,248,10
155,0.002845,0.003027,0.022795,0.005643,0.034311,0.000000,0.034311,1699832,2,248,10
156,0.003160,0.002089,0.027823,0.007913,0.040985,0.000000,0.040985,1798328,2,248,10
157,0.002611,0.001941,0.027193,0.005551,0.037296,0.000000,0.037296,1830868,2,248,10
158,0.003306,0.001631,0.025901,0.007596,0.038433,0.000000,0.038433,1833997,2,248,10
159,0.004986,0.001970,0.024351,0.005885,0.037193,0.000000,0.037193,1786659,2,248,10
160,0.007624,0.001948,0.023922,0.007841,0.041334,0.000000,0.041334,1726182,2,248,10
161,0.006690,0.001792,0.022528,0.005947,0.036957,0.000000,0.036957,1676486,2,248,10
162,0.003716,0.001977,0.022267,0.006555,0.034515,0.000000,0.034515,1693909,2,248,10
163,0.003264,0.002434,0.026914,0.006073,0.038685,0.000000,0.038685,1691572,2,248,10
164,0.002889,0.002239,0.026770,0.006733,0.038632,0.000000,0.038632,1646301,2,248,10
165,0.003137,0.002169,0.025691,0.006818,0.037815,0.000000,0.037815,1652277,2,248,10
166,0.004599,0.002141,0.024293,0.006375,0.037408,0.000000,0.037408,1669851,2,248,10
167,0.006218,0.001931,0.022804,0.006059,0.037012,0.000000,0.037012,1702184,2,248,10
168,0.002873,0.001781,0.022395,0.010866,0.037915,0.000000,0.037915,1674638,2,248,10
169,0.003003,0.004044,0.027136,0.004937,0.039119,0.000000,0.039119,1646816,2,248,10
170,0.003328,0.001515,0.027522,0.005949,0.038314,0.000000,0.038314,1633853,2,248,10
171,0.003630,0.001563,0.027539,0.010746,0.043477,0.000000,0.043477,1670951,2,248,10
172,0.003662,0.003876,0.027458,0.005507,0.040503,0.000000,0.040503,1676523,2,248,10
173,0.004844,0.001478,0.025163,0.006104,0.037590,0.000000,0.037590,1629930,2,248,10
174,0.004838,0.001658,0.025051,0.005109,0.036656,0.000000,0.036656,1588175,2,248,10
175,0.006022,0.001754,0.024024,0.006081,0.037881,0.000000,0.037881,1561781,2,248,10
176,0.003709,0.001836,0.022202,0.005086,0.032833,0.000000,0.032833,1465370,2,248,10
177,0.003687,0.002233,0.023859,0.005783,0.035561,0.000000,0.035561,1574136,2,248,10
178,0.003312,0.001681,0.027184,0.005123,0.037299,0.000000,0.037299,1638459,2,248,10
179,0.004146,0.001675,0.025560,0.005627,0.037007,0.000000,0.037007,1652606,2,248,10
180,0.004382,0.001858,0.024702,0.005868,0.036810,0.000000,0.036810,1630392,2,248,10
181,0.003542,0.001383,0.019295,0.005311,0.029531,0.000000,0.029531,1673226,2,248,10
182,0.002550,0.002178,0.018112,0.004472,0.027312,0.000000,0.027312,1685275,2,248,10
183,0.002392,0.001730,0.021191,0.004767,0.030081,0.000000,0.030081,1695837,2,248,10
184,0.002601,0.001396,0.019580,0.005163,0.028740,0.000000,0.028740,1707195,2,248,10
185,0.003525,0.001784,0.030302,0.008507,0.044119,0.000000,0.044119,1728040,2,248,10
186,0.003634,0.002397,0.029891,0.007141,0.043064,0.000000,0.043064,1712801,2,248,10
187,0.003363,0.003770,0.029206,0.008599,0.044938,0.000000,0.044938,1700014,2,248,10
188,0.003401,0.003121,0.029458,0.001114,0.037093,0.000000,0.037093,265327,2,248,10
189,0.004643,0.001868,0.026442,0.000595,0.033548,0.000000,0.033548,164130,2,248,10
190,0.002666,0.001988,0.032607,0.000624,0.037885,0.000000,0.037885,172678,2,248,10
191,0.002653,0.002821,0.032021,0.000520,0.038016,0.000000,0.038016,167467,2,248,10
192,0.003816,0.002763,0.030634,0.000378,0.037590,0.000000,0.037590,125987,2,248,10
193,0.003588,0.003583,0.029542,0.000458,0.037171,0.000000,0.037171,148904,2,248,10
194,0.004513,0.003865,0.030335,0.001568,0.040281,0.000000,0.040281,323939,2,248,10
195,0.004224,0.003765,0.027740,0.002140,0.037868,0.000000,0.037868,574071,2,248,10
196,0.003435,0.002709,0.027895,0.004833,0.038872,0.000000,0.038872,699792,2,248,10
197,0.003334,0.004118,0.029794,0.003240,0.040487,0.000000,0.040487,825863,2,248,10
198,0.011760,0.002511,0.028652,0.003841,0.046763,0.000000,0.046763,989744,2,248,10
199,0.003642,0.001567,0.024303,0.005812,0.035324,0.000000,0.035324,1077470,2,248,10
200,0.004397,0.002983,0.030639,0.004661,0.042680,0.000000,0.042680,1306485,2,248,10
201,0.005433,0.002251,0.027486,0.007160,0.042330,0.000000,0.042330,1376500,2,248,10
202,0.003230,0.003015,0.029177,0.005880,0.041303,0.000000,0.041303,1538665,2,248,10
203,0.005975,0.003364,0.024380,0.006690,0.040408,0.000000,0.040408,1694860,2,248,10
204,0.004866,0.003073,0.029228,0.008173,0.045340,0.000000,0.045340,1751190,2,248,10
205,0.007345,0.004342,0.030228,0.005392,0.047306,0.000000,0.047306,1751285,2,248,10
206,0.009261,0.001607,0.027852,0.009099,0.047818,0.000000,0.047818,1743564,2,248,10
207,0.009768,0.003474,0.030422,0.008087,0.051750,0.000000,0.051750,1859684,2,248,10
208,0.004724,0.002232,0.031133,0.006261,0.044350,0.000000,0.044350,1859651,2,248,10
209,0.006738,0.001781,0.027678,0.007351,0.043549,0.000000,0.043549,1919316,2,248,10
210,0.006107,0.001401,0.028137,0.007027,0.042671,0.000000,0.042671,1936236,2,248,10
211,0.004382,0.002361,0.030189,0.007414,0.044346,0.000000,0.044346,1962829,2,248,10
212,0.003978,0.001845,0.031907,0.017532,0.055262,0.000000,0.055262,1991835,2,248,10
213,0.003380,0.003757,0.021962,0.010839,0.039937,0.000000,0.039937,2003372,2,248,10
214,0.012673,0.003079,0.023294,0.012884,0.051931,0.000000,0.051931,1953573,2,248,10
215,0.008033,0.002317,0.027704,0.012273,0.050327,0.000000,0.050327,2060825,2,248,10
216,0.004919,0.003066,0.030520,0.007465,0.045969,0.000000,0.045969,2040430,2,248,10
217,0.004366,0.001631,0.030647,0.012331,0.048974,0.000000,0.048974,2016413,2,248,10
218,0.004332,0.002185,0.029874,0.014919,0.051310,0.000000,0.051310,2020738,2,248,10
219,0.006118,0.004137,0.030623,0.014690,0.055568,0.000000,0.055568,2013827,2,248,10
220,0.010392,0.002764,0.027798,0.010560,0.051514,0.000000,0.051514,1923922,2,248,10
221,0.004926,0.002469,0.028710,0.007191,0.043295,0.000000,0.043295,2025121,2,248,10
222,0.008428,0.002987,0.029470,0.007766,0.048651,0.000000,0.048651,2039540,2,248,10
